"Uptime (ms)","System (%)","Time spent in GC (%)","Process (kernel) (%)","Process (user + kernel) (%)"
"3100","0","0","0","0"
"4200","100","1","2","20"
"5200","62","0","2","16"
"6200","46","0","0","0"
"7200","84","0","1","2"
"8500","99","0","0","1"
"9800","99","0","0","1"
"10800","100","0","0","0"
"11800","100","0","1","1"
"12800","96","0","1","1"
"13800","46","0","0","3"
"14800","39","0","0","3"
"15800","37","0","0","0"
"16800","53","0","0","1"
"18400","58","0","3","7"
"20100","100","0","8","50"
"22000","56","0","1","5"
"23000","50","0","2","3"
"24100","39","0","0","1"
"26100","53","0","1","3"
"27100","55","0","1","2"
"28100","52","0","0","2"
"29100","38","0","0","2"
"30100","60","0","0","0"
"31100","48","0","0","1"
"32100","48","0","0","3"
"33100","30","0","1","2"
"34100","40","0","0","1"
"35100","68","0","0","1"
"36100","70","0","4","18"
"37100","36","0","0","0"
"38200","47","0","0","1"
"39200","43","0","0","1"
"40200","51","0","0","1"
"41300","59","0","2","8"
"43300","79","0","5","29"
"44300","71","0","2","6"
"45300","59","0","0","0"
"46300","49","0","0","1"
"47300","49","0","1","2"
"48300","34","0","0","1"
"49400","93","0","8","40"
"50400","75","0","3","21"
"51400","50","0","1","3"
"52400","34","0","0","0"
"53400","28","0","0","2"
"54400","43","0","0","0"
"55400","50","0","0","0"
